latitude;longitude
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,111537;-8,101944
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,112133;-8,284379
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,11362;-8,483905
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114356;-8,152865
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,114903;-8,027966
37,115158;-7,80606
37,115158;-7,80606
37,115158;-7,80606
37,115158;-7,80606
37,115158;-7,80606
37,115158;-7,80606
37,115158;-7,80606
37,115158;-7,80606
37,115158;-7,80606
37,115158;-7,80606
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,116848;-8,534075
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117081;-8,343119
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117325;-8,655818
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,117679;-8,541057
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119005;-8,54976
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119771;-7,649214
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,119835;-8,558946
37,120271;-8,527819
37,120271;-8,527819
37,120271;-8,527819
37,120271;-8,527819
37,120271;-8,527819
37,120271;-8,527819
37,120271;-8,527819
37,120271;-8,527819
37,120271;-8,527819
37,120271;-8,527819
